chain,project,symbol,tvlUsd,apyBase,apyReward,apy,rewardTokens,pool,apyPct1D,apyPct7D,apyPct30D,stablecoin,ilRisk,exposure,poolMeta,mu,sigma,count,outlier,underlyingTokens,il7d,apyBase7d,apyMean30d,volumeUsd1d,volumeUsd7d,apyBaseInception,predictedClass,predictedConfidence,binnedConfidence
Polygon,balancer-v2,WMATIC-LINK-DAI-BAL-1INCH-ENS-AAVE-GTC,18226,7.67653,,7.67653,,80698602-4055-4963-bc89-6c164bc1fdca,3.09583,,-93.03947,false,yes,multi,,7.29882,0.49517,109,false,"0x0d500b1d8e8ef31e21c99d1db9a6444d3adf1270,0x53e0bca35ec356bd5dddfebbd1fc0fd03fabad39,0x8f3cf7ad23cd3cadbd9735aff958023239c6a063,0x9a71012b13ca4d3d0cdc72a177df3ef03b0e76a3,0x9c2c5fd7b07e95ee044ddeba0e97a665f142394f,0xbd7a5cf51d22930b8b3df6d834f9bcef90ee7c4f,0xd6df932a45c0f255f85145f286ea0b292b21c90b,0xdb95f9188479575f3f718a245eca1b3bf74567ec",-0.01307,,9.53743,,,,Down,61,1
Arbitrum,sushiswap,WETH-PETH,18202,0.71334,0,0.71334,,02bcc419-6681-4083-b015-abbc9e951f9e,0.57206,0.68574,-2023.98753,false,no,multi,,5.73453,1.18076,233,false,"0x82af49447d8a07e3bd95bd0d56f35241523fbab1,0xa0df47432d9d88bcc040e9ee66ddc7e17a882715",-0.00471,0.41808,36.2461,118.57469,487.80283,,Stable/Up,53,1
Ethereum,curve,UZD-FRAXBP,18182,0.07434,0,0.07434,,442226d7-09ec-4f7c-a47f-4db4a8e5e61e,-0.26414,,,false,yes,multi,,0.07672,0.00623,7,false,"0xb40b6608B2743E691C9B54DdBDEe7bf03cd79f1c,0x3175Df0976dFA876431C2E9eE6Bc45b65d3473CC",,,0.093,,,,Down,67,2
BSC,rehold,ATOM-USDC,18178,250,,250,,a3e6d78f-3080-4193-9398-c0a3239ed5d9,,0,,false,yes,multi,"Calculated as: 24h yield * 365. APY is fixed, and extendable with no limits after the staking period ends",250,0,21,true,"0x0Eb3a705fc54725037CC9e008bDede697f62F335,0x8AC76a51cc950d9822D68b83fE1Ad97B32Cd580d",,,250,,,,Down,88,3
Ethereum,balancer-v2,⚗️-WETH,18176,0,,0,,08445d00-70df-47d1-9f6c-444904973754,-2.65373,,-1.74033,false,yes,multi,,0.32198,0.06233,358,false,"0x88acdd2a6425c3faae4bc9650fd7e27e0bebb7ab,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2",-0.0146,,0.13332,,,,,,
Arbitrum,kyberswap-elastic,KNC-KNC,18174,2.05023,0,2.05023,,31c4b856-bce8-4cea-94e4-d219790da872,-14.40297,,-2.38596,false,no,multi,0.3%,39.57256,1.43115,49,true,"0x316772cfec9a3e976fde42c3ba21f5a13aaaff12,0xe4dddfe67e7164b0fe14e218d80dc4c08edc01cb",,17.11124,41.58791,340.27517,19934.22122,,Stable/Up,81,3
Ethereum,sushiswap,WETH-1ONE,18171,4.25867,0,4.25867,,7d076773-39ad-4af4-ba50-e806c02a5c79,-37.75385,-0.1996,-4.62156,false,yes,multi,,7.71991,0.5286,353,false,"0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xd5cd84d6f044abe314ee7e414d37cae8773ef9d3",,19.99474,11.03219,706.71351,23290.30637,,Down,70,2
Ethereum,balancer-v2,USDC-EPYVUSDC-29OCT21,18148,0,,0,,f4b63c59-b369-4573-9cb1-46b6c6405c11,0,,0,false,yes,multi,,0,0,109,false,"0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xf38c3e836be9cd35072055ff6a9ba570e0b70797",,,0,,,,,,
Tezos,plenty,QUIPU-CTEZ,18146,,50.87206,50.87206,KT1JVjgXPMMSaa6FkzeJcgb8q9cUaLmwaJUX,5c616dc5-cf01-4e71-9d37-8259721c0b90,-0.2893,7.2345,,false,yes,multi,,50.35762,0.30438,19,true,,,,49.38119,,,,Down,70,2
Avalanche,pangolin,BUSD-WAVAX,18144,4.90832,0,4.90832,,9fa7b802-1265-4f9e-a485-0aa34d96bf8f,-4.89889,-51.95958,-43.15453,false,yes,multi,,17.1785,0.92706,149,false,"0x9c9e5fd8bbc25984b178fdce6117defa39d2db39,0xb31f66aa3c1e785363f0875a1b74e27b85fd66c7",,39.60763,42.03335,813.29976,46066.62189,,Stable/Up,59,1
Polygon,quickswap-dex,WMATIC-SNE,18132,2.54585,,2.54585,,3719db77-b84c-4140-9290-36927c0bb78a,1.24168,0.01491,0.1022,false,yes,multi,,4.14606,0.26658,334,false,"0x0d500b1d8e8ef31e21c99d1db9a6444d3adf1270,0x32934cb16da43fd661116468c1b225fc26cf9a8c",-0.06417,3.21829,2.39822,421.56866,3740.67061,,Stable/Up,51,1
Ethereum,yearn-finance,CRVIBKRW,18131,,,41.37533,,877cc721-68e9-4cbe-9790-7c497560e2e3,1.52422,6.19992,,false,no,single,,39.09469,0.15622,23,true,,,,39.35394,,,,Down,63,2
BSC,killswitch,BSW-WBNB,18128,0,27.11106,27.11106,bsc:0x965f527d9159dce6288a2219db51fc6eef120dd1,5fadf278-7c48-4236-85c0-4b400daae211,-0.12191,1.39444,-1.0147,false,yes,multi,,33.94273,0.19952,220,false,,,,26.59503,,,,Down,60,1
Avalanche,beefy,UST-USDC,18109,,,0,,bd82089f-a27d-45bd-925b-c7dce483ab8d,0,0,0,false,yes,multi,Pangolin,4.26466,0.49225,403,false,,,,0,,,,,,
Arbitrum,sushiswap,WETH-ARBITAMA,18079,20.61708,0,20.61708,,9030d4ce-c8d6-46f5-b24b-fd08d3bef7e2,-114.5923,,,false,yes,multi,,81.70201,3.45067,4,true,"0x82af49447d8a07e3bd95bd0d56f35241523fbab1,0xe50fd33a16ce174dda298fbe20dacd6b427433c2",,88.12639,60.67706,3403.97666,102130.36614,,,,
Fantom,tarot,SFTMX,18077,0.3745,,0.3745,,98dc4d31-6f3b-4920-9cb9-3a1eda5f48d7,-0.2615,-0.29057,-0.64135,false,no,single,Spirit Boosted WFTM/sFTMX,0.42638,0.01841,198,false,"0x21be370D5312f44cB42ce377BC9b8a0cEF1A4C83,0xd7028092c830b5C8FcE061Af2E593413EbbC1fc1",,,0.51227,,,,Stable/Up,51,1
Arbitrum,sushiswap,WETH-POLL,18072,3.46016,0,3.46016,,37db043c-06a6-4d95-a2b3-0c57c243f524,-3.03374,-1.79912,-39.38439,false,yes,multi,,29.96475,1.63292,46,true,"0x82af49447d8a07e3bd95bd0d56f35241523fbab1,0xc0c67901cd4584ca7bab12c032daf8151ce57778",,2.96918,13.28092,571.06736,3439.67646,,Stable/Up,62,1
Polygon,curve,JJPY-JPYC,18066,0.04936,0,0.04936,,a49e52bc-c1ec-40ac-ad5c-03ac72e3154b,0.04936,-0.61101,-0.01258,false,yes,multi,,0.14519,0.00904,228,false,"0x8343091F2499FD4b6174A46D067A920a3b851FF9,0x6AE7Dfc73E0dDE2aa99ac063DcF7e8A63265108c",,,0.04475,,,,Stable/Up,53,1
BSC,apeswap-amm,3AIR-WBNB,18063,0.38895,3.12579,3.51474,0x603c7f932ED1fc6575303D8Fb018fDCBb0f39a95,1ba4e9a4-ef71-4123-a2e2-76dda35de076,,0.07358,-42.82794,false,yes,multi,,112.22999,1.97786,105,true,"0x596834746B5b78F31A089EE7853fa595682824B7,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c",-0.27024,,7.80144,,,,Stable/Up,61,1
Milkomeda A1,blueshift,USDT-USDC-DAI-BUSD,18053,0.00999,39.57007,39.58006,0xc9BAA8cfdDe8E328787E29b4B078abf2DaDc2055,e360afa6-4c24-4d62-a533-2d5932a9017e,0.20911,1.23743,-13.15242,true,no,multi,Celer Stablecoin Index,47.06917,0.20202,59,true,"0x522B61755b5FF8176B2931DA7bF1a5F9414Eb710,0x2421db204968A367CC2C866CD057fA754Cb84EdF,0x150d2421E09eEa31beaa68b7a248700EEcEda87a,0x8Dc0Dfa2AeC0d4410c8C60c5f9cD0CD37b05a06a",,,44.12527,,,,Down,64,2
BSC,dforce,BNB,18037,66.96723,0,66.96723,0x431ad2ff6a9c365805ebad47ee021148d6f7dbe0,a95a2fdd-9b03-4073-8ef9-1f81e5fa8cc4,28.91068,66.95113,66.85969,false,no,single,,2.22026,0.36882,258,false,0x0000000000000000000000000000000000000000,,,4.36431,,,,Down,92,3
Polygon,uniswap-v3,WETH-WETH,18036,2.67623,,2.67623,,c99cf6e1-88a8-4022-8994-ad2ccf9ac6d6,-21.03625,-74.01251,-22.12281,false,no,multi,0.3%,45.0156,1.57723,191,true,"0x11cd37bb86f65419713f30673a480ea33c826872,0x7ceb23fd6bc0add59e62ac25578270cff1b9f619",-0.00922,2.85311,50.20384,440.79639,36142.10295,,Stable/Up,89,3
Ethereum,sushiswap,RETH2-WETH,18013,0.46469,0,0.46469,,0e45d0f9-59fd-4689-8630-cddf573631b3,0.46469,0.17014,0.43976,false,no,multi,,0.44604,0.0861,358,false,"0x20bc832ca081b91433ff6c17f85701b6e92486c5,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2",-0.00025,0.0882,0.11582,76.44132,101.83735,,Down,93,3
Fantom,tarot,WFTM,18008,4.24804,,4.24804,,28d5fe9c-1687-496a-80d8-b1d2f1e91161,-1.41954,-2.67104,-8.62285,false,no,single,Spirit Boosted WFTM/YFI,8.56723,0.2539,112,false,"0x21be370D5312f44cB42ce377BC9b8a0cEF1A4C83,0x29b0Da86e484E1C0029B56e817912d778aC0EC69",,,9.41409,,,,Stable/Up,84,3
