symbol,chain,protocol,liqPrice,collateralValue,collateralAmount,owner,timestamp
USDC,ethereum,aave-v2,0.22655852003376103,418334.0572875393,1846472.413508,0x000000000dfde7deaf24138722987c9a6991e2d4,1678938049
USDC,ethereum,aave-v2,0.3615147561074868,140.18122826461433,387.760737,0x000741def5c59bead2b2f6be2d35fc4145e39e6b,1678938049
USDC,ethereum,aave-v2,0.6108089957378706,77123.05099052645,126263.777267,0x002525a77d262dd11ec63c9146a821b11564ce29,1678938049
USDC,ethereum,aave-v2,0.6478010647027499,2.6841410385585798,4.143465,0x0025500c6a6bcaebde159db6a307f4d38503a079,1678938049
USDC,ethereum,aave-v2,0.5755663233722654,264228.45484592713,459075.599312,0x00641ed1aae8a9700fd3fd4d899f2577d1ae6b22,1678938049
USDC,ethereum,aave-v2,0.5223959769819584,58.61282861737573,112.2,0x00b99e045e63ef702ce5abaf8b145f2b4a509787,1678938049
USDC,ethereum,aave-v2,0.8839612949604764,0.02317923307645361,0.026222,0x00bd3bda43483af368de8b7ec6568437c7bb319f,1678938049
USDC,ethereum,aave-v2,0.00034320465139742233,0.0013728186055896893,4,0x00ede3b3a16ca0879c2791f940fbbc6008b6b73b,1678938049
USDC,ethereum,aave-v2,0.4146459370105552,38.451629538075125,92.733646,0x010cb929cc8ce2db8d565bce6b80ff6cb93fcea6,1678938049
USDC,ethereum,aave-v2,0.8177118957659119,136427.29803667965,166840.300041,0x0110ad3cf10a6d04993bec37bdccba6ee2c48a27,1678938049
USDC,ethereum,aave-v2,0.9272636001266986,351.5319362005123,379.1068,0x01d35e1cbc52ce7599b5e3a70b6e2f595f534106,1678938049
USDC,ethereum,aave-v2,0.8413135470090097,667807.4270685567,793767.590505,0x01f64dd95c758fdeb7f8066fe7f32c805d60469d,1678938049
USDC,ethereum,aave-v2,0.9762740625442398,6.9307169873850025,7.099151,0x02009370ff755704e9acbd96042c1ab832d6067e,1678938049
USDC,ethereum,aave-v2,0.38779844463487206,69.41621515306468,179.000757,0x03c2bfd2509de9b13d0124015077e100a292336d,1678938049
USDC,ethereum,aave-v2,0.000031300130113453874,0.00006733393540461595,2.151235,0x046f9c93709ef57e224851b75693cca78420d945,1678938049
USDC,ethereum,aave-v2,0.8431533227531478,27990.062705644254,33196.883592,0x04c18cbf703c72591f1800b52d801a948f55e00c,1678938049
USDC,ethereum,aave-v2,0.00018626369552591422,0.47148335328055113,2531.268114,0x04dcaaa85569cbfd5bcae97d7db72d8334fc51e5,1678938049
USDC,ethereum,aave-v2,0.45367051258827695,556499.0033406742,1226658.969228,0x05700ea8d7b427bd70a4ac559cd8dba0a254d149,1678938049
USDC,ethereum,aave-v2,0.7283262644382932,2436.712808957366,3345.633582,0x05a03979cf7a9be0e08cb139084d36165e83a7fe,1678938049
USDC,ethereum,aave-v2,0.001997710107267868,0.004095191850423015,2.049943,0x05d383eeb09e31a8372ffffd6e46c83291cb7912,1678938049
USDC,ethereum,aave-v2,0.9628771685668897,11.58354136340027,12.030134,0x064145c2668c0c06df9a4d9878fdb8682f00eb69,1678938049
USDC,ethereum,aave-v2,0.8388744743779959,5751.920649795063,6856.71197,0x064ad79d7f835ecfda1047388450137b1cfbdf87,1678938049
USDC,ethereum,aave-v2,0.9428866671332498,7926.731640567687,8406.876369,0x067368d5fcf2dab2cea24be0456298b541c87580,1678938049
USDC,ethereum,aave-v2,0.17556019469916165,280.5980733711076,1598.30122,0x067e2069acf2a133c71b453da8e7a13c66eeeb2a,1678938049
USDC,ethereum,aave-v2,0.004473396253644781,0.008197637310087925,1.832531,0x0694fcb8d0d764050aef2c1aebc2475b95201331,1678938049
USDC,ethereum,aave-v2,0.994682592127702,0.0016461996899713469,0.001655,0x069e60af74afc4b530bd7c645dfd28a71022da90,1678938049
USDC,ethereum,aave-v2,0.9372655347994201,42.17694906597391,45,0x06b7b871ac40188430150e2ac3e84ed365dc0478,1678938049
USDC,ethereum,aave-v2,0.18356223404880595,11.19782879101814,61.002901,0x0716762a0392bd2ce5b93602c82722ac3ca6ff7b,1678938049
USDC,ethereum,aave-v2,0.06175558137849156,1.1498072843889304,18.618678,0x072d0330ccb348a9567a92a0ed627a16d555f6e5,1678938049
USDC,ethereum,aave-v2,0.09893937772016959,0.0011643185970109558,0.011768,0x07759bfb542723b5a89c5a927720bb8c299cd206,1678938049
USDC,ethereum,aave-v2,0.8280253368653512,23984.939270956773,28966.431585,0x077fb615bfa79bb3f3cd032710e331a167b68d70,1678938049
USDC,ethereum,aave-v2,0.05720972904982651,1.1441945809965302,20,0x07c65d7b604a040a93ae6e920c4b3eee69f49218,1678938049
USDC,ethereum,aave-v2,0.8890380513340874,0.012048243671679552,0.013552,0x07ebcc0400d154bd16a9cffde5aea0b0abfb5bd9,1678938049
USDC,ethereum,aave-v2,0.9210542506880472,0.05749036421944653,0.062418,0x0802aadddcee28121ad83789910f13fa2fbe03c3,1678938049
USDC,ethereum,aave-v2,0.8055220564777366,973.3707809378274,1208.372599,0x085f29857f26dfd4d4b3560b7f2ff2e79871d83d,1678938049
USDC,ethereum,aave-v2,0.018731260456927325,0.0012367689341895405,0.066027,0x08af38938201eb391d7090d22d2cc40cc352a812,1678938049
USDC,ethereum,aave-v2,0.7435980529207254,46.0153651983605,61.882041,0x08cbf44086a86566b38cac15bc38d201689281d5,1678938049
USDC,ethereum,aave-v2,0.8806885535246575,0.01266342071113105,0.014379,0x091399230e5c9f2e4647f2508a37cfdbbdb441a5,1678938049
